City,Country,Date,Lat,Lng,Max Temperature (F),Humidity,Cloudiness,Wind Speed
haimen,cn,2018-07-27 07:45:19,31.87,121.18,94.35,60.0,8.0,3.94
saint-denis,re,2018-07-27 07:30:00,48.94,2.36,84.2,51.0,0.0,2.24
saskylakh,ru,2018-07-27 07:45:20,71.97,114.09,57.81,77.0,32.0,7.52
qaanaaq,gl,2018-07-27 07:45:20,77.48,-69.36,38.19,90.0,32.0,4.5
kapaa,us,2018-07-27 07:00:00,22.08,-159.32,80.6,88.0,75.0,11.41
punta arenas,cl,2018-07-27 07:00:00,-53.16,-70.91,32.0,88.0,20.0,5.82
rikitea,pf,2018-07-27 07:42:38,-23.12,-134.97,74.1,100.0,64.0,10.42
bradley,us,2018-07-27 07:15:00,41.14,-87.86,66.2,93.0,1.0,4.7
richards bay,za,2018-07-27 07:45:21,-28.77,32.06,73.11,60.0,24.0,12.66
nuevitas,cu,2018-07-27 06:50:00,21.55,-77.27,77.0,94.0,20.0,4.7
varkkallai,in,2018-07-27 07:00:00,8.73,76.71,87.8,66.0,40.0,13.87
new norfolk,au,2018-07-27 07:00:00,-42.78,147.06,51.8,87.0,20.0,17.22
leshukonskoye,ru,2018-07-27 07:45:23,64.9,45.76,67.8,100.0,76.0,5.17
mataura,pf,2018-07-27 07:42:31,-46.19,168.86,42.6,92.0,88.0,14.0
merauke,id,2018-07-27 07:45:23,-8.49,140.4,83.37,65.0,0.0,18.37
lufilufi,ws,2018-07-27 07:45:24,-13.87,-171.6,83.91,95.0,0.0,14.56
avarua,ck,2018-07-27 07:00:00,-21.21,-159.78,73.4,88.0,75.0,9.17
iwaki,jp,2018-07-27 07:00:00,37.05,140.89,75.2,69.0,75.0,8.05
hithadhoo,mv,2018-07-27 07:42:55,-0.6,73.08,84.63,97.0,24.0,20.38
east london,za,2018-07-27 07:04:00,-33.02,27.91,77.0,23.0,0.0,9.17
cabo san lucas,mx,2018-07-27 07:42:37,22.89,-109.91,78.96,100.0,48.0,13.56
portland,au,2018-07-27 06:56:00,45.52,-122.67,73.4,53.0,1.0,6.93
half moon bay,us,2018-07-27 07:41:00,37.46,-122.43,64.4,93.0,90.0,9.17
samarai,pg,2018-07-27 07:45:26,-10.62,150.67,77.25,100.0,88.0,10.09
rantepao,id,2018-07-27 07:45:27,-2.97,119.9,73.11,95.0,68.0,3.15
tuktoyaktuk,ca,2018-07-27 07:42:32,69.44,-133.03,43.86,92.0,80.0,12.55
tiksi,ru,2018-07-27 07:42:41,71.64,128.87,53.58,63.0,0.0,13.22
victoria,sc,2018-07-27 07:00:00,5.28,115.24,93.2,66.0,75.0,3.36
kruisfontein,za,2018-07-27 07:45:28,-34.0,24.73,61.59,85.0,100.0,21.05
berezovka,ru,2018-07-27 07:45:28,57.6,57.31,86.34,39.0,0.0,3.94
hermanus,za,2018-07-27 07:35:52,-34.42,19.24,54.66,97.0,76.0,4.05
komsomolskiy,ru,2018-07-27 07:43:45,67.55,63.78,81.39,42.0,64.0,16.69
douentza,ml,2018-07-27 07:45:29,15.01,-2.95,80.94,88.0,0.0,4.61
ponta do sol,cv,2018-07-27 07:43:14,-20.63,-46.0,43.68,83.0,0.0,2.71
yabrud,sy,2018-07-27 07:00:00,33.97,36.66,80.6,42.0,0.0,4.7
kholodnyy,ru,2018-07-27 07:45:30,62.72,147.95,46.74,99.0,92.0,3.38
batemans bay,au,2018-07-27 07:42:44,-35.71,150.18,52.59,85.0,0.0,5.28
kyaikkami,mm,2018-07-27 07:45:30,16.08,97.57,75.99,100.0,92.0,6.51
iquique,cl,2018-07-27 07:00:00,-20.22,-70.14,59.0,82.0,90.0,1.81
avera,pf,2018-07-27 07:11:00,33.19,-82.53,75.2,100.0,1.0,2.59
ouargaye,bf,2018-07-27 07:45:31,11.5,0.06,76.62,100.0,76.0,6.17
kostino,ru,2018-07-27 07:30:00,41.7,25.3,75.2,78.0,12.0,4.7
georgetown,sh,2018-07-27 06:00:00,6.8,-58.16,75.2,100.0,40.0,3.71
indiana,us,2018-07-27 07:15:00,40.62,-79.15,69.8,88.0,90.0,3.36
zhigansk,ru,2018-07-27 07:42:27,66.77,123.37,66.72,35.0,76.0,5.5
nikolskoye,ru,2018-07-27 07:00:00,59.7,30.79,71.6,78.0,75.0,8.95
karratha,au,2018-07-27 07:45:33,-20.74,116.85,79.77,26.0,0.0,9.75
harper,lr,2018-07-27 07:15:00,30.3,-99.24,78.8,49.0,1.0,6.17
flinders,au,2018-07-27 07:00:00,-34.58,150.85,60.8,36.0,0.0,8.05
khatanga,ru,2018-07-27 07:42:31,71.98,102.47,52.23,73.0,56.0,11.65
hilo,us,2018-07-27 06:53:00,19.71,-155.08,78.8,83.0,75.0,15.46
cabedelo,br,2018-07-27 07:00:00,-6.97,-34.84,71.6,94.0,75.0,11.41
cape town,za,2018-07-27 07:00:00,-33.93,18.42,57.2,71.0,75.0,5.82
port alfred,za,2018-07-27 07:42:49,-33.59,26.89,72.21,57.0,0.0,16.46
mogadishu,so,2018-07-27 07:00:00,2.04,45.34,77.0,88.0,75.0,13.87
tuatapere,nz,2018-07-27 07:43:42,-46.13,167.69,45.84,100.0,56.0,20.15
labuhan,id,2018-07-27 07:46:05,-2.54,115.51,80.13,88.0,76.0,3.15
mayo,ph,2018-07-27 07:00:00,63.59,-135.9,62.6,67.0,75.0,3.36
norman wells,ca,2018-07-27 07:00:00,65.28,-126.83,71.6,64.0,90.0,4.7
gazojak,tm,2018-07-27 07:46:06,41.19,61.4,93.63,27.0,0.0,16.69
awjilah,ly,2018-07-27 07:46:06,29.14,21.3,93.9,33.0,0.0,5.61
tasiilaq,gl,2018-07-27 06:50:00,65.61,-37.64,41.0,86.0,44.0,9.17
belmonte,br,2018-07-27 07:46:07,40.36,-7.35,71.4,64.0,0.0,4.05
narsaq,gl,2018-07-27 06:50:00,60.91,-46.05,42.8,75.0,92.0,1.48
moyale,ke,2018-07-27 07:46:07,3.52,39.05,71.31,77.0,36.0,10.09
provideniya,ru,2018-07-27 07:43:01,64.42,-173.23,45.93,100.0,92.0,10.42
lewisporte,ca,2018-07-27 07:00:00,49.25,-55.06,71.6,83.0,90.0,16.11
gravdal,no,2018-07-27 07:20:00,59.79,5.78,78.8,47.0,0.0,12.75
vila velha,br,2018-07-27 07:00:00,-3.71,-38.6,78.8,78.0,20.0,10.29
onguday,ru,2018-07-27 07:46:08,50.75,86.14,65.55,50.0,32.0,2.15
fortuna,us,2018-07-27 07:30:00,38.18,-1.13,78.8,78.0,40.0,3.36
tezu,in,2018-07-27 07:46:09,27.93,96.16,73.83,89.0,88.0,1.48
kaitangata,nz,2018-07-27 07:42:46,-46.28,169.85,42.78,83.0,0.0,18.25
basco,ph,2018-07-27 07:15:00,40.33,-91.2,64.4,87.0,1.0,4.7
dikson,ru,2018-07-27 07:46:10,73.51,80.55,42.69,100.0,36.0,19.37
jinxiang,cn,2018-07-27 07:46:10,35.07,116.31,84.18,87.0,76.0,4.61
clyde river,ca,2018-07-27 07:00:00,70.47,-68.59,37.4,86.0,90.0,4.7
samarinda,id,2018-07-27 07:46:11,-0.5,117.14,84.09,80.0,92.0,3.04
bredasdorp,za,2018-07-27 07:00:00,-34.53,20.04,57.2,93.0,44.0,3.36
snasa,no,2018-07-27 06:50:00,64.25,12.38,73.4,60.0,0.0,11.41
ribas do rio pardo,br,2018-07-27 07:46:12,-20.45,-53.76,60.06,80.0,0.0,2.93
mount isa,au,2018-07-27 07:00:00,-20.73,139.49,86.0,20.0,40.0,10.29
namatanai,pg,2018-07-27 07:46:12,-3.66,152.44,77.97,100.0,68.0,3.6
madingou,cg,2018-07-27 07:46:12,-4.17,13.56,72.48,85.0,32.0,2.93
bathsheba,bb,2018-07-27 07:00:00,13.22,-59.52,78.8,88.0,75.0,17.22
ruston,us,2018-07-27 07:15:00,32.52,-92.64,82.4,65.0,40.0,2.37
port hardy,ca,2018-07-27 07:35:00,50.7,-127.42,53.6,100.0,90.0,2.24
yining,cn,2018-07-27 07:40:53,29.04,114.56,89.94,59.0,80.0,2.59
khani,ru,2018-07-27 07:00:00,41.96,42.96,84.2,66.0,75.0,8.05
lagoa,pt,2018-07-27 07:30:00,37.14,-8.45,71.6,56.0,0.0,6.93
mar del plata,ar,2018-07-27 07:40:15,-46.43,-67.52,25.77,100.0,0.0,2.82
kolpny,ru,2018-07-27 07:46:15,52.23,37.04,73.29,84.0,100.0,13.33
burgeo,ca,2018-07-27 07:46:15,47.61,-57.61,59.79,85.0,100.0,26.98
puerto ayora,ec,2018-07-27 07:42:27,-0.74,-90.35,70.41,100.0,32.0,14.0
souillac,mu,2018-07-27 07:30:00,45.6,-0.6,73.4,64.0,64.0,6.93
trstena,sk,2018-07-27 07:30:00,49.36,19.61,69.8,77.0,20.0,10.29
graaff-reinet,za,2018-07-27 07:46:16,-32.25,24.53,71.13,26.0,64.0,10.31
cayenne,gf,2018-07-27 07:00:00,4.94,-52.33,73.4,100.0,20.0,2.24
aklavik,ca,2018-07-27 07:39:00,68.22,-135.01,59.0,93.0,90.0,5.82
ancud,cl,2018-07-27 07:42:40,-41.87,-73.83,30.27,78.0,12.0,2.93
lebu,cl,2018-07-27 07:43:26,8.96,38.73,64.02,92.0,48.0,3.83
lagunas,pe,2018-07-27 07:46:17,-5.23,-75.68,71.76,85.0,0.0,2.37
nushki,pk,2018-07-27 07:46:18,29.55,66.02,99.03,16.0,0.0,6.62
cherskiy,ru,2018-07-27 07:43:05,68.75,161.3,47.55,69.0,32.0,11.65
muroto,jp,2018-07-27 07:00:00,33.37,134.14,82.4,65.0,75.0,4.7
primorsk,ru,2018-07-27 07:46:19,60.37,28.62,80.13,58.0,8.0,6.85
bonthe,sl,2018-07-27 07:43:00,7.53,-12.5,77.34,96.0,92.0,4.38
broome,au,2018-07-27 07:20:00,52.47,1.45,75.2,69.0,0.0,6.93
saint-joseph,re,2018-07-27 07:30:00,43.56,6.97,80.6,61.0,0.0,2.24
zhanaozen,kz,2018-07-27 07:46:20,43.35,52.85,96.78,16.0,0.0,12.66
shelburne,ca,2018-07-27 07:00:00,44.08,-80.2,66.2,93.0,90.0,7.96
gonbad-e qabus,ir,2018-07-27 07:46:20,37.25,55.17,94.26,44.0,0.0,6.4
katsuura,jp,2018-07-27 07:00:00,33.93,134.5,91.4,52.0,20.0,4.7
kavieng,pg,2018-07-27 07:42:58,-2.57,150.8,78.51,100.0,80.0,4.38
areosa,pt,2018-07-27 07:30:00,41.72,-8.86,64.4,93.0,90.0,3.36
coihaique,cl,2018-07-27 07:00:00,-45.58,-72.07,26.6,92.0,68.0,5.82
charters towers,au,2018-07-27 07:46:21,-20.07,146.27,65.01,69.0,0.0,7.63
upernavik,gl,2018-07-27 07:42:39,72.79,-56.15,37.47,98.0,68.0,16.69
naze,jp,2018-07-27 07:43:02,5.43,7.07,73.83,100.0,92.0,4.16
mackay,au,2018-07-27 07:00:00,53.65,-115.58,51.8,100.0,1.0,3.36
grande prairie,ca,2018-07-27 07:00:00,55.17,-118.79,59.0,87.0,40.0,5.82
payyannur,in,2018-07-27 07:46:23,12.1,75.2,76.17,100.0,48.0,8.08
arraial do cabo,br,2018-07-27 07:43:20,-22.97,-42.02,68.25,99.0,0.0,11.77
kathmandu,np,2018-07-27 07:20:00,27.71,85.32,82.4,65.0,75.0,5.82
igrim,ru,2018-07-27 07:46:23,63.19,64.42,79.77,60.0,20.0,3.94
carutapera,br,2018-07-27 07:46:24,-1.2,-46.02,77.25,92.0,0.0,7.4
el penon,co,2018-07-27 07:46:24,20.26,-97.43,76.89,95.0,20.0,1.48
yellowknife,ca,2018-07-27 07:00:00,62.45,-114.38,64.4,77.0,20.0,4.7
carnarvon,au,2018-07-27 07:35:52,-30.97,22.13,56.64,36.0,0.0,12.44
san andres,co,2018-07-27 07:46:25,13.32,122.68,79.77,100.0,76.0,15.79
butaritari,ki,2018-07-27 07:38:59,3.07,172.79,84.63,100.0,0.0,6.4
kouroussa,gn,2018-07-27 07:46:25,10.65,-9.88,77.79,71.0,44.0,12.66
wakkanai,jp,2018-07-27 07:00:00,45.41,141.67,77.0,83.0,75.0,9.17
kodiak,us,2018-07-27 06:53:00,39.95,-94.76,69.8,77.0,90.0,2.93
anadyr,ru,2018-07-27 07:00:00,64.73,177.51,51.8,93.0,90.0,24.61
kudahuvadhoo,mv,2018-07-27 07:46:26,2.67,72.89,84.45,98.0,24.0,18.48
verkhnyaya inta,ru,2018-07-27 07:46:27,65.99,60.32,80.58,48.0,0.0,5.5
muisne,ec,2018-07-27 07:46:27,0.61,-80.02,71.31,93.0,68.0,4.38
husavik,is,2018-07-27 07:42:46,50.56,-96.99,59.25,90.0,20.0,7.4
kamaishi,jp,2018-07-27 07:00:00,39.28,141.86,84.2,54.0,20.0,13.87
coahuayana,mx,2018-07-27 07:46:28,18.62,-100.35,63.21,92.0,64.0,2.37
lithakia,gr,2018-07-27 07:20:00,37.72,20.83,80.6,74.0,20.0,3.36
humaita,br,2018-07-27 07:00:00,-24.93,-65.37,32.0,94.0,0.0,2.15
saint george,bm,2018-07-27 07:20:00,39.45,22.34,82.4,61.0,20.0,8.05
marzuq,ly,2018-07-27 07:46:59,14.4,46.47,95.97,23.0,0.0,4.61
anito,ph,2018-07-27 07:47:00,12.45,125.29,84.45,96.0,56.0,15.9
ust-maya,ru,2018-07-27 07:47:00,60.42,134.54,71.94,56.0,80.0,3.38
alta,no,2018-07-27 07:20:00,69.97,23.27,64.4,63.0,0.0,4.7
chiang mai,th,2018-07-27 07:00:00,18.79,98.99,84.2,70.0,75.0,3.6
show low,us,2018-07-27 07:35:00,34.25,-110.03,75.2,56.0,1.0,6.93
westport,nz,2018-07-27 07:00:00,53.8,-9.52,55.4,100.0,75.0,9.17
mahebourg,mu,2018-07-27 07:00:00,-20.41,57.7,75.2,47.0,40.0,10.29
jiaocheng,cn,2018-07-27 07:47:02,24.68,116.14,91.92,52.0,76.0,2.48
jian,cn,2018-07-27 07:47:02,25.65,87.89,88.05,83.0,44.0,8.63
koumac,nc,2018-07-27 07:47:03,-20.56,164.28,70.32,84.0,24.0,7.18
lasa,cn,2018-07-27 07:30:00,34.92,32.53,86.0,58.0,20.0,11.41
pierre,us,2018-07-27 06:53:00,44.37,-100.35,57.2,82.0,1.0,3.36
dingle,ie,2018-07-27 07:47:03,11.0,122.67,79.77,85.0,76.0,12.1
inyonga,tz,2018-07-27 07:47:04,-6.72,32.06,71.94,46.0,92.0,7.85
kon tum,vn,2018-07-27 07:47:04,14.36,108.0,75.81,80.0,92.0,3.38
klaksvik,fo,2018-07-27 07:20:00,62.23,-6.59,62.6,82.0,68.0,14.99
dali,cn,2018-07-27 07:47:05,25.6,100.24,69.24,88.0,88.0,2.26
chumikan,ru,2018-07-27 07:47:05,54.72,135.31,72.93,66.0,0.0,5.73
pisco,pe,2018-07-27 07:00:00,-13.71,-76.2,57.2,87.0,24.0,3.71
kachiry,kz,2018-07-27 07:47:06,53.07,76.1,79.59,41.0,0.0,14.9
nago,jp,2018-07-27 07:20:00,45.88,10.89,78.8,61.0,0.0,3.36
loei,th,2018-07-27 07:00:00,17.49,101.72,86.0,66.0,75.0,3.36
wukari,ng,2018-07-27 07:47:07,7.87,9.78,72.93,100.0,100.0,9.53
udhampur,in,2018-07-27 07:47:07,32.92,75.13,77.25,83.0,20.0,2.15
itarema,br,2018-07-27 07:47:07,-2.92,-39.92,76.44,89.0,0.0,11.43
aykhal,ru,2018-07-27 07:47:08,65.95,111.51,62.76,50.0,88.0,6.62
phan thiet,vn,2018-07-27 07:47:08,10.93,108.1,82.65,91.0,24.0,11.32
saint-pierre,pm,2018-07-27 07:30:00,48.95,4.24,84.2,39.0,0.0,9.17
bushehr,ir,2018-07-27 07:00:00,28.97,50.84,98.6,44.0,0.0,9.17
isangel,vu,2018-07-27 07:47:09,-19.55,169.27,74.37,99.0,56.0,14.79
inhambane,mz,2018-07-27 07:00:00,-23.87,35.38,71.6,73.0,40.0,5.17
hortobagy,hu,2018-07-27 07:15:00,47.58,21.15,78.8,57.0,0.0,10.29
gemena,cd,2018-07-27 07:47:10,3.25,19.78,79.59,81.0,64.0,2.93
arman,ru,2018-07-27 07:00:00,59.7,150.17,62.6,88.0,90.0,4.47
bar harbor,us,2018-07-27 06:56:00,44.39,-68.2,66.2,100.0,90.0,6.93
port lincoln,au,2018-07-27 07:47:11,-34.72,135.86,57.0,97.0,0.0,8.19
manadhoo,mv,2018-07-27 07:47:11,5.77,73.38,83.73,97.0,0.0,18.92
ilo,pe,2018-07-27 07:47:11,-17.65,-71.34,50.43,100.0,24.0,1.7
manaure,co,2018-07-27 07:47:12,11.78,-72.45,80.67,91.0,0.0,19.04
fairbanks,us,2018-07-27 06:58:00,64.84,-147.72,66.2,63.0,20.0,3.36
bagojo,mx,2018-07-27 07:47:12,25.87,-109.12,84.09,79.0,32.0,5.61
el alto,pe,2018-07-27 07:00:00,-16.5,-68.19,33.8,50.0,0.0,4.7
thayetmyo,mm,2018-07-27 07:47:13,19.32,95.18,76.98,98.0,92.0,6.62
brooks,ca,2018-07-27 07:47:13,50.57,-111.89,55.38,88.0,20.0,2.93
lakota,ci,2018-07-27 06:56:00,48.04,-98.34,53.6,93.0,1.0,5.82
lichinga,mz,2018-07-27 07:47:14,-13.3,35.25,70.05,57.0,0.0,5.61
le vauclin,mq,2018-07-27 07:00:00,14.55,-60.84,78.8,83.0,75.0,12.75
mogzon,ru,2018-07-27 07:47:15,51.74,111.97,59.52,88.0,68.0,5.39
bullhead city,us,2018-07-27 07:35:00,35.15,-114.57,105.8,21.0,1.0,8.05
noshiro,jp,2018-07-27 07:00:00,40.21,140.05,89.6,52.0,20.0,4.7
aquiraz,br,2018-07-27 07:00:00,-3.9,-38.39,78.8,78.0,20.0,10.29
faanui,pf,2018-07-27 07:47:16,-16.48,-151.75,79.86,100.0,64.0,17.25
makakilo city,us,2018-07-27 06:57:00,21.35,-158.09,80.6,69.0,75.0,5.82
noumea,nc,2018-07-27 07:30:00,-22.28,166.46,69.8,73.0,20.0,6.93
opochka,ru,2018-07-27 07:47:17,56.71,28.66,75.54,82.0,68.0,12.55
palana,ru,2018-07-27 07:47:17,59.08,159.95,52.32,97.0,92.0,9.98
vaasa,fi,2018-07-27 07:20:00,63.1,21.62,75.2,60.0,0.0,9.17
yichang,cn,2018-07-27 07:47:18,30.77,111.32,86.88,85.0,68.0,0.47
montefiascone,it,2018-07-27 06:55:00,42.54,12.04,71.6,68.0,0.0,4.27
khorixas,na,2018-07-27 07:47:18,-20.37,14.96,71.4,26.0,0.0,4.38
juigalpa,ni,2018-07-27 07:47:19,12.1,-85.37,76.08,89.0,32.0,10.54
jutai,br,2018-07-27 07:47:19,-1.71,-47.89,74.73,93.0,0.0,5.39
kongolo,cd,2018-07-27 07:47:20,-5.39,27.0,88.86,32.0,80.0,4.38
marabba,sd,2018-07-27 07:47:20,12.35,32.18,93.54,41.0,44.0,7.07
kirkenaer,no,2018-07-27 07:47:20,60.46,12.06,78.96,45.0,0.0,4.16
champerico,gt,2018-07-27 07:47:21,16.38,-93.6,70.86,94.0,68.0,1.36
faya,td,2018-07-27 07:00:00,18.39,42.45,86.0,18.0,5.0,5.82
kenosha,us,2018-07-27 07:15:00,42.58,-87.82,64.4,93.0,1.0,6.93
caravelas,br,2018-07-27 07:47:21,-17.73,-39.27,75.72,100.0,48.0,10.87
carlyle,ca,2018-07-27 07:00:00,49.63,-102.27,48.2,93.0,75.0,5.82
yatou,cn,2018-07-27 07:00:00,3.63,9.81,75.2,100.0,75.0,2.24
pyapon,mm,2018-07-27 07:47:22,16.29,95.68,84.36,85.0,100.0,13.89
pimentel,pe,2018-07-27 07:47:23,-3.7,-45.5,70.77,98.0,36.0,4.05
bethel,us,2018-07-27 06:53:00,60.79,-161.76,57.2,93.0,20.0,3.36
pangai,to,2018-07-27 07:47:24,-19.8,-174.35,75.45,100.0,0.0,12.77
cam ranh,vn,2018-07-27 07:43:46,11.92,109.15,81.93,94.0,56.0,3.6
rio verde de mato grosso,br,2018-07-27 07:47:24,-18.92,-54.84,55.2,84.0,0.0,2.48
deputatskiy,ru,2018-07-27 07:47:25,69.3,139.9,42.33,70.0,80.0,8.63
nicoya,cr,2018-07-27 07:47:25,10.15,-85.45,73.65,93.0,8.0,7.4
corinto,co,2018-07-27 07:47:25,-18.36,-44.46,53.04,91.0,0.0,3.6
fukue,jp,2018-07-27 07:00:00,35.03,136.69,87.8,66.0,20.0,16.11
sazonovo,ru,2018-07-27 07:47:26,54.2,39.81,79.59,67.0,92.0,4.72
phuket,th,2018-07-27 07:00:00,7.89,98.4,87.8,78.0,75.0,10.29
aswan,eg,2018-07-27 07:45:54,24.09,32.9,109.38,16.0,0.0,8.41
hami,cn,2018-07-27 07:47:27,42.84,93.51,85.26,33.0,92.0,12.66
fare,pf,2018-07-27 07:47:27,-16.7,-151.02,79.59,98.0,36.0,15.9
abbeville,us,2018-07-27 07:30:00,50.11,1.83,78.8,78.0,0.0,3.36
birnin kebbi,ng,2018-07-27 07:47:28,12.45,4.2,81.75,87.0,36.0,11.99
sept-iles,ca,2018-07-27 07:00:00,50.2,-66.38,59.0,93.0,40.0,2.24
cardenas,mx,2018-07-27 07:47:58,27.62,-110.24,76.8,92.0,64.0,3.94
geraldton,au,2018-07-27 07:00:00,49.72,-86.95,50.0,93.0,90.0,8.05
kahului,us,2018-07-27 07:25:00,20.89,-156.47,78.8,88.0,75.0,4.7
olkusz,pl,2018-07-27 07:30:00,50.28,19.56,69.8,83.0,40.0,1.12
mocajuba,br,2018-07-27 07:47:59,-2.58,-49.5,73.65,94.0,24.0,3.38
denia,es,2018-07-27 07:48:00,38.84,0.11,78.24,93.0,0.0,0.81
romulus,us,2018-07-27 07:18:00,42.22,-83.4,66.2,82.0,1.0,3.36
eldorado,mx,2018-07-27 07:44:15,24.32,-107.36,80.67,89.0,0.0,2.71
jachymov,cz,2018-07-27 07:30:00,50.36,12.93,75.2,53.0,20.0,10.29
jaguaribe,br,2018-07-27 07:48:01,-5.88,-38.62,75.27,59.0,0.0,11.43
mosjoen,no,2018-07-27 07:20:00,65.84,13.19,77.0,56.0,0.0,3.36
tianpeng,cn,2018-07-27 07:48:02,28.88,112.34,88.41,80.0,24.0,6.4
puerto madryn,ar,2018-07-27 07:48:02,-42.77,-65.04,48.09,96.0,36.0,16.02
tokur,ru,2018-07-27 07:48:02,53.13,132.9,75.09,61.0,0.0,2.26
gat,ly,2018-07-27 07:48:02,14.69,-16.54,78.87,76.0,20.0,8.75
sola,vu,2018-07-27 07:20:00,58.89,5.65,80.6,42.0,0.0,17.22
rio gallegos,ar,2018-07-27 07:00:00,-51.62,-69.22,37.4,92.0,0.0,8.05
anloga,gh,2018-07-27 07:00:00,5.79,0.9,75.2,94.0,40.0,6.93
buloh kasap,my,2018-07-27 07:00:00,2.55,102.76,89.6,62.0,75.0,8.05
ust-ilimsk,ru,2018-07-27 07:48:04,57.96,102.73,64.47,61.0,44.0,6.17
petropavlovsk-kamchatskiy,ru,2018-07-27 07:00:00,53.05,158.65,69.8,77.0,40.0,8.95
russell,nz,2018-07-27 07:00:00,-33.01,-68.8,35.6,74.0,0.0,2.48
lingsugur,in,2018-07-27 07:48:05,16.17,76.52,86.07,61.0,24.0,15.68
camacha,pt,2018-07-27 07:30:00,33.08,-16.33,71.6,78.0,75.0,10.29
ewa beach,us,2018-07-27 07:41:00,21.32,-158.01,80.6,78.0,75.0,13.67
maxixe,mz,2018-07-27 07:00:00,-23.86,35.35,71.6,73.0,40.0,5.17
biak,id,2018-07-27 07:48:07,-0.91,122.88,79.68,89.0,92.0,4.83
sorland,no,2018-07-27 06:50:00,67.67,12.69,66.2,82.0,0.0,20.8
rawson,ar,2018-07-27 07:48:07,-43.3,-65.11,43.32,96.0,32.0,12.66
margate,za,2018-07-27 07:00:00,-43.03,147.26,51.8,98.0,20.0,17.22
mogwase,za,2018-07-27 07:48:08,-25.28,27.22,66.99,35.0,8.0,7.74
mkuranga,tz,2018-07-27 07:00:00,-7.12,39.21,78.8,78.0,75.0,13.87
isla vista,us,2018-07-27 07:35:00,34.41,-119.86,62.6,87.0,1.0,3.36
padang,id,2018-07-27 07:48:09,-0.92,100.36,78.42,100.0,48.0,11.65
emba,kz,2018-07-27 07:30:00,34.81,32.42,86.0,58.0,20.0,11.41
suratgarh,in,2018-07-27 07:48:09,29.32,73.9,95.79,66.0,88.0,4.5
cheremukhovo,ru,2018-07-27 07:48:10,56.23,46.23,85.17,61.0,0.0,4.16
cockburn town,bs,2018-07-27 07:48:10,21.46,-71.14,81.93,99.0,80.0,19.82
